feature,consensus_score,n_models
total_min_max,0.7796241593734453,3
outbed_minutes_sd,0.5797955272690524,3
first_sleep_minutes_median,0.5693722130655576,3
avg_hr_deep_max,0.5425548814299055,3
first_inbed_minutes_sd,0.5347004805660088,3
excl_night_min_hr_rept_mean,0.529082128537259,3
night_min_median,0.49545878424807427,3
wake_count_max,0.4932678134548694,3
day_min_sd,0.4610633077040325,3
first_inbed_minutes_min,0.4607135958834984,3
first_inbed_minutes_median,0.45856000709508365,3
first_sleep_minutes_max,0.45768011572513395,3
avg_hr_rem_mean,0.4329545593364399,3
dayt_light_active_min_mean,0.41775442274482577,3
first_sleep_minutes_min,0.40979672096571096,3
wakeup_minutes_max,0.39458718867696957,3
sleep_min_mean,0.3942175540018529,3
first_sleep_minutes_sd,0.3909029504253047,3
avg_hr_deep_sd,0.3868086483481219,3
excl_night_min_hr50_mean,0.38566352435994317,3
rem_minutes_max,0.3825747085474829,3
first_inbed_minutes_max,0.37763515366801553,3
excl_day_min_hr50_mean,0.35215340716345134,3
total_min_min,0.3518881428128143,3
avg_hr_wake_sd,0.3378455847870527,3
rem_minutes_min,0.3355253506306011,3
fitbit_lightlyactivemin_mean,0.3342970210720577,3
day_min_min,0.33419827077598874,3
fitbit_totalsteps_mean,0.3323377907596005,3
avg_hr_light_sd,0.33082383409394683,3
light_minutes_median,0.3259602002974003,3
light_minutes_max,0.31981753945257707,3
night_min_mean,0.31861272798754176,3
avg_hr_rem_min,0.3170037307597326,3
wakeup_minutes_min,0.31208103185244523,3
fitbit_veryactivemin_mean,0.3111576843813422,3
wake_minutes_max,0.3085688727611377,3
outbed_minutes_max,0.30116537872867827,3
excl_sleep_min_hr50_mean,0.29086562903127827,3
avg_hr_rem_max,0.2897253650456418,3
avg_hr_rem_sd,0.2895179934655159,3
night_min_sd,0.28348067539721766,3
avg_hr_wake_max,0.28345758347150923,3
day_total_steps_no_el_min,0.2816580727892029,3
sleep_min_sd,0.27505748129024415,3
deep_minutes_median,0.27254749115077626,3
day_min_max,0.27181873004493506,3
total_ave_met_min,0.27001299537607465,3
day_min_median,0.26960269999680747,3
sleepperiod_minutes_max,0.269151939325911,3
wake_count_sd,0.2664274759334421,3
day_min_mean,0.2635755245649222,3
rem_minutes_sd,0.26030801360134437,3
avg_hr_light_max,0.25300691629875993,3
wake_minutes_sd,0.2507979352704653,3
day_total_steps_no_el_sd,0.2505520759868356,3
sleepperiod_minutes_median,0.2442772691471186,3
avg_hr_light_median,0.2437126801765114,3
total_step_min,0.2425533817385319,3
outbed_minutes_min,0.2365693015386052,3
total_sedentary_min_min,0.23068645026752424,3
wakeup_minutes_median,0.2293308474670127,3
excl_sleep_min_nohr_mean,0.22502819526668508,3
total_sedentary_min_median,0.22156048240652346,3
sleep_min_min,0.22048665870288542,3
light_minutes_sd,0.2201593895130355,3
excl_day_min_hr_rept_mean,0.21874276988302843,3
excl_sleep_min_mean,0.21711757108339458,3
total_step_median,0.2160694800522879,3
deep_minutes_min,0.2160430645500937,3
total_sedentary_min_mean,0.21159698023884355,3
sleep_min_median,0.2067873653193322,3
sleepperiod_minutes_min,0.1996070524729093,3
dayt_sedentary_min_mean,0.1990521761307522,3
dayt_ave_met_value_mean,0.1984467623144437,3
total_light_active_min_mean,0.19735821998496142,3
excl_sleep_min_rept_mean,0.18851441088596774,3
wakeup_minutes_sd,0.18841723816942735,3
wake_count_min,0.18732077936202715,3
sleep_min_max,0.1776494764823977,3
fitbit_restingheartrate_mean,0.1743060942128546,3
night_min_max,0.1732326916688203,3
wake_minutes_median,0.17242097082454347,3
avg_hr_wake_median,0.17043685872041137,3
outbed_minutes_median,0.16814820981792358,3
total_sedentary_min_sd,0.16462756450196522,3
deep_minutes_sd,0.16453673887828188,3
total_min_sd,0.16291254354585358,3
total_step_mean,0.1620513063518675,3
total_ave_met_mean,0.1615385795392051,3
dayt_total_steps_mean,0.16118040921735208,3
light_minutes_min,0.15760844945552524,3
deep_minutes_max,0.15401787772599917,3
excl_night_min_nohr_mean,0.15130178554414983,3
avg_hr_light_min,0.1504970933784093,3
rem_minutes_median,0.14959832689522606,3
fitbit_sedentarymin_mean,0.14844854893993095,3
total_fairly_active_min_mean,0.14819345735108436,3
total_min_median,0.14510127980147094,3
total_very_active_min_mean,0.14452126966125542,3
night_min_min,0.14434986706501177,3
day_total_steps_no_el_median,0.143649085894657,3
total_ave_met_max,0.14186504331349611,3
wake_count_median,0.13893765511956557,3
dayt_very_active_min_mean,0.13773717467635282,3
excl_day_min_mean,0.13497535538216293,3
day_total_steps_no_el_mean,0.13494955105178724,3
avg_hr_wake_min,0.13198059090726585,3
total_ave_met_sd,0.12393375158804114,3
wake_minutes_min,0.12152411250171109,3
total_step_sd,0.12073484757794382,3
avg_hr_deep_mean,0.12043223978908184,3
sleepperiod_minutes_sd,0.1185063560317799,3
avg_hr_deep_min,0.11676014862194962,3
excl_day_min_nohr_mean,0.11145016162313877,3
excl_night_min_mean,0.10409076454386874,3
total_sedentary_min_max,0.10133684832513644,3
total_ave_met_median,0.0977859491420625,3
fitbit_fairlyactivemin_mean,0.09131705089389015,3
avg_hr_deep_median,0.08459296268998893,3
avg_hr_rem_median,0.08387342671578396,3
day_total_steps_no_el_max,0.08005046696039826,3
dayt_farily_active_min_mean,0.03727872694709079,3
total_step_max,0.03248845645069151,3
total_min_mean,0.03194472968526616,3
